airport_group,timestamp,target_sched,flights_cnt,avg_duration,max_duration,passenger_share,cargo_share,charter_share,airline,dow,holiday,month,hournum,weekend,date,daily_flights_cnt,flights_cnt_prev,flights_cnt_next
G,2025-10-01 03:00:00,1,4,26.25,35.0,1.0,0.0,0.0,,2,False,10,3,0,2025-10-01,34,0,0
B,2025-10-01 03:00:00,1,2,50.0,70.0,1.0,0.0,0.0,,2,False,10,3,0,2025-10-01,47,0,4
D,2025-10-01 03:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,3,0,2025-10-01,48,0,3
C,2025-10-01 03:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,3,0,2025-10-01,21,0,5
F,2025-10-01 03:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,3,0,2025-10-01,26,0,0
E,2025-10-01 03:00:00,1,2,27.5,30.0,1.0,0.0,0.0,,2,False,10,3,0,2025-10-01,53,0,2
A,2025-10-01 03:00:00,1,2,47.5,65.0,1.0,0.0,0.0,,2,False,10,3,0,2025-10-01,48,0,6
B,2025-10-01 04:00:00,1,4,52.5,70.0,1.0,0.0,0.0,,2,False,10,4,0,2025-10-01,47,2,0
A,2025-10-01 04:00:00,1,6,40.833333333333336,65.0,1.0,0.0,0.0,,2,False,10,4,0,2025-10-01,48,2,0
F,2025-10-01 04:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,4,0,2025-10-01,26,0,4
E,2025-10-01 04:00:00,1,2,30.0,30.0,1.0,0.0,0.0,,2,False,10,4,0,2025-10-01,53,2,4
C,2025-10-01 04:00:00,1,5,24.0,30.0,1.0,0.0,0.0,,2,False,10,4,0,2025-10-01,21,0,1
G,2025-10-01 04:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,4,0,2025-10-01,34,4,1
D,2025-10-01 04:00:00,1,3,58.333333333333336,65.0,1.0,0.0,0.0,,2,False,10,4,0,2025-10-01,48,0,0
D,2025-10-01 05:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,5,0,2025-10-01,48,3,4
C,2025-10-01 05:00:00,0,1,30.0,30.0,1.0,0.0,0.0,,2,False,10,5,0,2025-10-01,21,5,1
A,2025-10-01 05:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,5,0,2025-10-01,48,6,3
E,2025-10-01 05:00:00,1,4,27.5,30.0,1.0,0.0,0.0,,2,False,10,5,0,2025-10-01,53,2,2
G,2025-10-01 05:00:00,0,1,35.0,35.0,1.0,0.0,0.0,,2,False,10,5,0,2025-10-01,34,0,6
B,2025-10-01 05:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,5,0,2025-10-01,47,4,2
F,2025-10-01 05:00:00,1,4,33.75,45.0,1.0,0.0,0.0,,2,False,10,5,0,2025-10-01,26,0,4
D,2025-10-01 06:00:00,1,4,52.5,65.0,1.0,0.0,0.0,,2,False,10,6,0,2025-10-01,48,0,6
G,2025-10-01 06:00:00,1,6,28.333333333333332,50.0,1.0,0.0,0.0,,2,False,10,6,0,2025-10-01,34,1,1
B,2025-10-01 06:00:00,1,2,62.5,70.0,1.0,0.0,0.0,,2,False,10,6,0,2025-10-01,47,0,5
A,2025-10-01 06:00:00,1,3,51.666666666666664,65.0,1.0,0.0,0.0,,2,False,10,6,0,2025-10-01,48,0,6
C,2025-10-01 06:00:00,0,1,35.0,35.0,1.0,0.0,0.0,,2,False,10,6,0,2025-10-01,21,1,2
E,2025-10-01 06:00:00,1,2,25.0,25.0,1.0,0.0,0.0,,2,False,10,6,0,2025-10-01,53,4,5
F,2025-10-01 06:00:00,1,4,27.5,45.0,1.0,0.0,0.0,,2,False,10,6,0,2025-10-01,26,4,2
A,2025-10-01 07:00:00,1,6,41.666666666666664,65.0,1.0,0.0,0.0,,2,False,10,7,0,2025-10-01,48,3,2
B,2025-10-01 07:00:00,1,5,57.0,70.0,1.0,0.0,0.0,,2,False,10,7,0,2025-10-01,47,2,2
F,2025-10-01 07:00:00,1,2,22.5,25.0,1.0,0.0,0.0,,2,False,10,7,0,2025-10-01,26,4,0
G,2025-10-01 07:00:00,0,1,20.0,20.0,1.0,0.0,0.0,,2,False,10,7,0,2025-10-01,34,6,0
E,2025-10-01 07:00:00,1,5,26.0,30.0,1.0,0.0,0.0,,2,False,10,7,0,2025-10-01,53,2,0
D,2025-10-01 07:00:00,1,6,45.833333333333336,65.0,1.0,0.0,0.0,,2,False,10,7,0,2025-10-01,48,4,0
C,2025-10-01 07:00:00,0,2,35.0,35.0,1.0,0.0,0.0,,2,False,10,7,0,2025-10-01,21,1,0
B,2025-10-01 08:00:00,0,2,52.5,70.0,1.0,0.0,0.0,,2,False,10,8,0,2025-10-01,47,5,1
E,2025-10-01 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,8,0,2025-10-01,53,5,4
D,2025-10-01 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,8,0,2025-10-01,48,6,4
C,2025-10-01 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,8,0,2025-10-01,21,2,0
G,2025-10-01 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,8,0,2025-10-01,34,1,1
A,2025-10-01 08:00:00,0,2,47.5,65.0,1.0,0.0,0.0,,2,False,10,8,0,2025-10-01,48,6,1
F,2025-10-01 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,8,0,2025-10-01,26,2,0
E,2025-10-01 09:00:00,1,4,27.5,30.0,1.0,0.0,0.0,,2,False,10,9,0,2025-10-01,53,0,1
A,2025-10-01 09:00:00,0,1,70.0,70.0,1.0,0.0,0.0,,2,False,10,9,0,2025-10-01,48,2,3
B,2025-10-01 09:00:00,0,1,70.0,70.0,1.0,0.0,0.0,,2,False,10,9,0,2025-10-01,47,2,3
C,2025-10-01 09:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,9,0,2025-10-01,21,0,0
G,2025-10-01 09:00:00,0,1,15.0,15.0,1.0,0.0,0.0,,2,False,10,9,0,2025-10-01,34,0,2
F,2025-10-01 09:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,9,0,2025-10-01,26,0,3
D,2025-10-01 09:00:00,1,4,50.0,65.0,1.0,0.0,0.0,,2,False,10,9,0,2025-10-01,48,0,1
B,2025-10-01 10:00:00,0,3,65.0,70.0,1.0,0.0,0.0,,2,False,10,10,0,2025-10-01,47,1,2
E,2025-10-01 10:00:00,0,1,30.0,30.0,1.0,0.0,0.0,,2,False,10,10,0,2025-10-01,53,4,2
G,2025-10-01 10:00:00,0,2,17.5,20.0,1.0,0.0,0.0,,2,False,10,10,0,2025-10-01,34,1,0
A,2025-10-01 10:00:00,0,3,66.66666666666667,70.0,1.0,0.0,0.0,,2,False,10,10,0,2025-10-01,48,1,2
F,2025-10-01 10:00:00,1,3,20.0,20.0,1.0,0.0,0.0,,2,False,10,10,0,2025-10-01,26,0,5
C,2025-10-01 10:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,10,0,2025-10-01,21,0,0
D,2025-10-01 10:00:00,0,1,55.0,55.0,1.0,0.0,0.0,,2,False,10,10,0,2025-10-01,48,4,0
D,2025-10-01 11:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,11,0,2025-10-01,48,1,2
E,2025-10-01 11:00:00,0,2,27.5,30.0,1.0,0.0,0.0,,2,False,10,11,0,2025-10-01,53,1,2
